Template Bin N   ZP     Amp1    phi1    sig1    Amp2   phi2   sig2    Amp3    phi3   sig3   Amp4   phi4   sig4    Amp5    phi5    sig5    Amp6    phi6   sig6   Amp7      phi7       sig7       Amp8       phi8       sig8      sigma
Fe RRc    273 -0.1310  0.0013 3.3705 -0.0603 -0.2621 0.2759 0.4993 -0.8346  0.0926 0.4754 0.2818 0.6557 0.8044  0.1339  0.0064  0.1607  0.5500 -0.0378 0.7882     0.         0.         1.         0.         0.         1.     0.0542 
Fe RRab1 1577  0.6424  0.3776 2.9697 -0.1407 -0.5830 0.3218 1.0174 -0.9773  0.0226 0.7072 0.4537 0.8707 0.4538  0.1601 -0.0137  0.0604  0.2821 -0.0752 0.2054     0.         0.         1.         0.         0.         1.     0.0436 
Fe RRab2 2325 -0.3350  0.1647 2.9826 -0.0658 -0.3924 0.0590 0.3627 -0.4008  0.0053 0.1851 0.7730 0.8260 1.4763 -0.1467 -0.0755 -0.1343  0.7218 -0.0354 0.2473    -0.5185     0.1784     0.7559     0.         0.         1.     0.0444 
Fe RRab3  225 -0.0993  0.5169 2.9297 -0.3271 -0.3834 0.2270 0.8093 -0.4802  0.0346 0.4448 0.4505 0.7334 1.1373 -0.1209  0.0165  0.0856  0.2697 -0.0256 0.1727     0.         0.         1.         0.         0.         1.     0.0358 
Mg RRc    274  0.3628  0.0117 3.4362 -0.0008 -0.0532 0.3828 0.3327 -1.2381  0.0845 0.8881 0.5722 0.8664 0.7839  0.2609 -0.0013  0.2107  0.1947 -0.0990 0.3112     0.         0.         1.         0.         0.         1.     0.0468 
Mg RRab1 1579  0.6407  0.3785 2.9680 -0.1402 -0.5855 0.3232 1.0217 -0.9792  0.0228 0.7088 0.4533 0.8704 0.4503  0.1604 -0.0135  0.0631  0.2833 -0.0754 0.2049     0.         0.         1.         0.         0.         1.     0.0369 
Mg RRab2 2324 -0.3329  0.1681 2.9860 -0.0834 -0.3875 0.0600 0.3686 -0.3930  0.0041 0.2023 0.7799 0.8044 1.4406 -0.1162 -0.0817 -0.1382  0.7322 -0.0372 0.2532    -0.5000     0.1749     0.8169     0.         0.         1.     0.0358 
Mg RRab3  169 -0.1173  0.2986 2.9132 -0.2611 -0.7093 0.2378 0.9642 -0.5374  0.0604 0.4554 0.7128 0.9349 2.0843  0.1703 -0.0161  0.0953  0.2560 -0.0492 0.1495     0.         0.         1.         0.         0.         1.     0.0269 
Na RRc    253 -0.1309  0.0109 3.4980 -0.7647 -0.2432 0.3004 0.5449 -0.8777  0.0893 0.5187 0.2726 0.6945 1.0036  0.1573 -0.0005  0.2381  0.5056 -0.0462 0.8867     0.         0.         1.         0.         0.         1.     0.0601 
Na RRab1 1569  0.6423  0.3799 2.9684 -0.1403 -0.5814 0.3237 1.0239 -0.9774  0.0214 0.7066 0.4514 0.8718 0.4497  0.1633 -0.0126  0.0630  0.2861 -0.0752 0.2021     0.         0.         1.         0.         0.         1.     0.0473 
Na RRab2 2317 -0.3361  0.1542 2.9807 -0.0823 -0.3909 0.0589 0.3632 -0.3963  0.0057 0.1977 0.7710 0.8312 1.4792 -0.1452 -0.0725 -0.1524  0.7232 -0.0354 0.2494    -0.5178     0.1763     0.7565     0.         0.         1.     0.0471 
Na RRab3  170  0.0972  0.6100 2.9370 -0.5659 -0.2900 0.2942 0.5291 -0.9205  0.0426 0.5045 0.2993 0.9361 0.2302 -1.2989 -0.0343 -0.0818  1.4981 -0.0333 0.0876     0.         0.         1.         0.         0.         1.     0.0403 
Ha RRc    247 -0.1629 -0.1773 2.7078  0.3584 -0.0570 0.3644 0.2273 -0.8957  0.1755 0.6459 0.5873 0.7051 0.7197  0.0994 -0.0430 -0.2210  0.4494  0.0691 1.0378     0.         0.         1.         0.         0.         1.     0.0481 
Ha RRab1 1433 -1.1354  0.1356 2.9940 -0.0556 -0.4056 0.0489 0.2699 -0.2500  0.0404 0.1016 1.3915 0.7347 1.5634  0.3856 -0.0032 -0.1991  1.1708  0.0007 0.5860    -1.0707     0.0544     0.6007    -0.0173     1.5136     0.2006 0.0329 
Ha RRab2 1997 -2.5655 -0.3051 1.1951  0.5482 -0.3367 0.1001 0.3362 -3.1684  0.0143 0.2132 3.0207 0.8653 2.2112  0.3736  0.0007  0.1114  3.0001  0.0098 0.2165     0.         0.         1.         0.         0.         1.     0.0422 
Ha RRab3  150 -0.9358  0.6711 0.9992 -0.3646 -0.3939 0.0905 0.5194 -0.6015  0.0428 0.2529 1.2686 0.7869 1.3731  0.2571  0.0060 -0.0775  0.1858 -0.0194 0.1159     0.         0.         1.         0.         0.         1.     0.0321 
Hb RRc    249 -0.1480  0.1283 2.7790  0.2856 -0.0483 0.3577 0.2406 -0.5405  0.1480 0.5464 0.4701 0.6375 0.7211  0.0827  0.0345  0.2486  0.3796 -0.0673 0.3825     0.         0.         1.         0.         0.         1.     0.0465 
Hb RRab1 1423  0.9644  2.0712 0.9572  1.1051 -7.9514 0.0138 0.3475 -0.6546  0.0214 0.1964 8.2716 1.0094 0.3390 -0.1418 -0.0811  0.1560  0.2788 -0.0159 0.0693    -2.9412     1.0516     1.4365     0.         0.         1.     0.0419 
Hb RRab2 1995 -0.8317  0.1837 2.9142 -0.2288 -0.3829 0.0220 0.3672 -0.1456 -0.0051 0.0494 1.3660 0.8559 1.5473  0.2735 -0.0480  0.1406  0.4347 -0.0146 0.0962    -0.5666     0.1369     0.7170     0.         0.         1.     0.0397 
